# sofas — market seed, snapshot 2026-07 · one row per real SKU · see README.md
class,size,state,retailer,tier,model,w_in,d_in,url,note
sofa-3,,,Crate & Barrel,mid,"Lounge Deep 83"" Sofa",83,46,https://www.crateandbarrel.com/lounge-deep-sofa-83/s302850,"extra-deep (46in), above typical depth range - flagged"
sofa-3,,,Arhaus,upper,Beale Sofa,85,39,https://www.arhaus.com/products/beale-sofa,"85in width option, Standard 39in depth (Deep 43in also offered)"
sofa-3,,,IKEA,mass,EKTORP sofa (3-seat),85.83,34.65,https://www.ikea.com/us/en/p/ektorp-sofa-lofallet-beige-s89129207/,218x88cm; separate EKTORP 3.5-seat (250cm) also exists
sofa-3,,,Burrow,mid,Nomad 3-Seat Sofa,86,36,https://www.dimensions.com/element/burrow-nomad-sofa,dimensions.com element; Burrow lists ~84.5-86in across configs
sofa-3,,,Floyd,mid,The Sofa 2.0 (3-seat),86,34,https://floydhome.com/products/the-sofa-2-0,official Floyd dims 86x34
sofa-3,,,Design Within Reach,upper,"Reid Sofa 86""",86,39,https://www.dwr.com/living-sofas/reid-sofa/2198.html,
sofa-3,,,Ashley,mass,Darcy Sofa,87,37,https://www.ashleyfurniture.com/p/darcy_sofa/7500538.html,official Ashley 87x37
sofa-3,,,Article,mid,"Sven 88"" Sofa",88,38,https://www.article.com/product/24178/sven-88-tufted-leather-sofa-charme-tan,3-seat; same footprint in fabric/leather
sofa-3,,,Crate & Barrel,mid,"Axis 3-Seat 88"" Sofa",88,43,https://www.crateandbarrel.com/axis-3-seat-88-sofa/s543685,
sofa-3,,,Room & Board,upper,Metro Sofa,88,38,https://www.roomandboard.com/catalog/living/sofas-and-loveseats/metro-sofas,
sofa-3,,,Arhaus,upper,Dune Sofa,88,40,https://www.arhaus.com/products/dune-sofa-2,
sofa-3,,,IKEA,mass,UPPLAND sofa (3-seat),88.19,36.22,https://www.ikea.com/us/en/p/uppland-sofa-blekinge-white-s19384116/,224x92cm; EKTORP successor
sofa-3,,,IKEA,mass,KIVIK 3-seat sofa,89.76,37.4,https://itemfits.com/dimensions/ikea/ikea-kivik,228x95cm; verified via itemfits/dimensions.com and IKEA US KIVIK series
sofa-3,,,Castlery,mid,Dawson 3-Seater Sofa,89.76,44.88,https://www.castlery.com/au/products/dawson-3-seater-sofa,228x114cm; deep sofa; dims from Castlery intl listing
sofa-3,,,IKEA,mass,APPLARYD 3-seat sofa,90.94,36.61,https://www.ikea.com/gb/en/p/aepplaryd-3-seat-sofa-lejde-grey-black-80506246/,231x93cm
sofa-3,,,CB2,mid,Lenyx Sofa,91,37,https://www.cb2.com/lenyx-sofa/f17570,large 3-seat
sofa-3,,,IKEA,mass,HYLTARP 3-seat sofa,91.34,36.61,https://www.ikea.com/in/en/p/hyltarp-3-seat-sofa-hallarp-white-s29489641/,232x93cm (no chaise)
sofa-3,,,IKEA,mass,VIMLE 3-seat sofa,94.88,38.58,https://www.ikea.com/gb/en/p/vimle-3-seat-sofa-gunnared-beige-s59399031/,"241x98cm; wide modular 3-seater, top of 3-seat width range"
sofa-3,,,IKEA,mass,FINNALA sofa (3-seat),94.88,38.58,https://www.ikea.com/us/en/p/finnala-sofa-gunnared-beige-s19319060/,241x~98-99cm; wide modular 3-seater
sofa-3,,,Room & Board,upper,Jasper Sofa,96,36,https://www.roomandboard.com/catalog/living/sofas-and-loveseats/jasper-sofas,large 3-seat (96in wide)
sofa-3,,,RH,upper,Maxwell 2-Cushion Sofa (8ft),96,40,https://rh.com/us/en/catalog/product/product.jsp/prod20240025,"8ft width, Classic 40in depth (Petite 37 / Luxe 46 also offered)"
sofa-3,,,IKEA,mass,GRONLID 3-seat sofa,97.24,38.58,https://www.ikea.com/gb/en/p/groenlid-3-seat-sofa-tallmyra-medium-grey-s19409065/,247x98cm; wide modular 3-seater
