# beds — market seed, snapshot 2026-07 · one row per real SKU · see README.md
class,size,state,retailer,tier,model,w_in,d_in,url,note
bed-frame,queen,,IKEA,mass,TARVA bed frame pine (Queen),63,82.25,https://www.ikea.com/us/en/p/tarva-bed-frame-pine-s29930097/,"solid pine, low panel headboard"
bed-frame,queen,,Burrow,mid,Chorus Bed (Queen),63,85,https://burrow.com/products/chorus-bed,"wood platform, optional upholstered headboard"
bed-frame,queen,,Room & Board,upper,Hudson Bed (Queen),64,86,https://www.roomandboard.com/catalog/bedroom/beds/hudson-bed,solid wood platform w/ headboard; sources 63-64w / 85-86L
bed-frame,queen,,IKEA,mass,SONGESAND bed frame (Queen),64.96,81.89,https://www.ikea.com/us/en/p/songesand-bed-frame-brown-luroey-s59241069/,"panel/wood, high legs; 165x208cm converted"
bed-frame,queen,,Thuma,mid,The Classic Bed (Queen),65,85,https://www.thuma.co/products/classic-bed,"wood platform, PillowBoard headboard"
bed-frame,queen,,CB2,mid,Drommen Acacia Wood Platform Bed (Queen),65.25,91.5,https://www.cb2.com/drommen-acacia-wood-bed/f29541,"acacia platform, tall headboard + footboard; L 91.5 long - flagged"
bed-frame,queen,,IKEA,mass,HEMNES bed frame (Queen),65.75,83.88,https://www.ikea.com/us/en/p/hemnes-bed-frame-black-brown-s19931592/,"solid pine panel bed, 47in headboard"
bed-frame,queen,,West Elm,mid,Andes Upholstered Storage Bed (Queen),66,87,https://www.westelm.com/products/andes-bed-wood-legs-h8478/,"upholstered, tall 49.5in headboard"
bed-frame,queen,,IKEA,mass,MALM bed frame (Queen),66.13,83.13,https://www.ikea.com/us/en/p/malm-bed-frame-white-s19931605/,"platform, low veneer headboard; per dimensions.com/IKEA"
bed-frame,queen,,Floyd,mid,The Bed Frame with Headboard (Queen),66.5,86,https://floydhome.com/products/the-bed-frame,birch platform w/ headboard
bed-frame,queen,,Crate & Barrel,mid,Tate Upholstered Bed 45in (Queen),67,89.5,https://www.crateandbarrel.com/tate-queen-upholstered-bed-45/s116428,"upholstered, 45in headboard; long - flagged"
bed-frame,queen,,Arhaus,upper,Devereaux Leather Tufted Bed (Queen),67,91,https://www.arhaus.com/products/devereaux-leather-tufted-bed,leather tufted upholstered; L 91 long - flagged
bed-frame,queen,,Pottery Barn,mid,Farmhouse Bed (Queen),68.5,87.5,https://www.potterybarn.com/products/farmhouse-bed/,"wood panel/farmhouse, tall headboard + footboard"
bed-frame,queen,,IKEA,mass,TUFJORD upholstered bed frame (Queen),69.25,88.63,https://www.ikea.com/us/en/p/tufjord-upholstered-bed-frame-tallmyra-white-black-10573258/,upholstered storage; wide 69.25w + long 88.6L - flagged
bed-frame,queen,,Design Within Reach,upper,"Parallel Bed, Wide (Queen)",77.75,88.75,https://www.dwr.com/bedroom-beds/parallel-bed/1632.html,upholstered; headboard 77.75w spans far beyond mattress by design (footboard 68w) - wide outlier flagged
bed-frame,king,,Article,mid,Nera Low Profile Bed Walnut (King),78,82,https://www.article.com/product/31353/nera-king-low-profile-bed-walnut,low-profile platform; with-nightstands SKU runs 117w
bed-frame,king,,IKEA,mass,BRIMNES bed frame with storage (King),78.38,95.25,https://www.ikea.com/us/en/p/brimnes-bed-frame-with-storage-white-s59931608/,storage; L 95.25 unusually long due to side drawers - flagged
bed-frame,king,,Room & Board,upper,Hudson Bed (King),79,85,https://www.roomandboard.com/catalog/bedroom/beds/hudson-bed,solid wood platform w/ headboard
bed-frame,king,,West Elm,mid,Simple Bed Frame (King),79.7,82.5,https://www.westelm.com/products/simple-bed-frame-h8586/,low wood platform; sources vary 78-79.7w / 82.5-83L
bed-frame,king,,Thuma,mid,The Classic Bed (King),80.5,84.5,https://www.thuma.co/products/classic-bed,"wood platform, PillowBoard headboard"
bed-frame,king,,IKEA,mass,HEMNES bed frame (King),81.5,83.88,https://www.ikea.com/us/en/p/hemnes-bed-frame-black-brown-s49931581/,solid pine panel bed
bed-frame,king,,CB2,mid,Drommen Acacia Wood Platform Bed (King),81.75,91.5,https://www.cb2.com/drommen-acacia-wood-platform-king-bed/s213846,acacia platform; L 91.5 long - flagged
bed-frame,king,,IKEA,mass,MALM bed frame (King),82.5,83.5,https://www.ikea.com/us/en/p/malm-bed-frame-white-s49931604/,"platform, low veneer headboard"
bed-frame,king,,Crate & Barrel,mid,Tate Upholstered Bed 45in (King),83,89.5,https://www.crateandbarrel.com/tate-king-upholstered-bed-45/s116565,"upholstered, 45in headboard"
bed-frame,king,,Arhaus,upper,Beck Bed (King),83,89.5,https://www.arhaus.com/products/beck-bed,upholstered; long - flagged (frame cavity 77x80.75)
bed-frame,king,,IKEA,mass,TUFJORD upholstered bed frame (King),85,88.63,https://www.ikea.com/us/en/p/tufjord-upholstered-bed-frame-tallmyra-white-black-30573257/,upholstered storage; wide 85w - flagged; L taken = queen (same frame length)
bed-frame,king,,Pottery Barn,mid,Farmhouse Bed (King),85.5,87,https://www.potterybarn.com/products/farmhouse-bed/,"wood panel/farmhouse, tall headboard + footboard"
bed-frame,king,,Floyd,mid,The Bed Frame with Headboard (King),89,86,https://floydhome.com/products/the-bed-frame,"platform; W 89 unusually wide for king (per dimensions.com/floydhome) - flagged, may include headboard overhang"
